EstadoDesc_x,number,AnoMes,Estado,EstadoDesc_y,Precipitacao,TempMaxima,TempMinima,UmidadeRelativa
Amazonas,80.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,37.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,16.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,49.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,20.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,19.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,56.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,248.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,1.276,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,1.739,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,1.202,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,220.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,236.0,2013-01,AM,Amazonas,6.503301886792453,32.66981132075472,23.505188679245286,85.50639853747715
Amazonas,46.0,2014-01,AM,Amazonas,6.774193548387097,33.28211382113821,23.452032520325204,84.00887573964496
Amazonas,49.0,2014-01,AM,Amazonas,6.774193548387097,33.28211382113821,23.452032520325204,84.00887573964496
Amazonas,50.0,2014-01,AM,Amazonas,6.774193548387097,33.28211382113821,23.452032520325204,84.00887573964496
Amazonas,25.0,2014-01,AM,Amazonas,6.774193548387097,33.28211382113821,23.452032520325204,84.00887573964496
